Driver,sp,fp
Max Verstappen,7,2.779980813026998
Lando Norris,6,2.4864148556052488
Oscar Piastri,1,2.9122217936277828
Charles Leclerc,2,7.401019111109656
George Russell,3,4.917531665425026
Andrea Kimi Antonelli,4,6.819495957863052
Lewis Hamilton,9,10.0392597970065
Isack Hadjar,12,9.295905854218988
Alexander Albon,15,9.349528906565862
Oliver Bearman,20,9.456163985647294
Fernando Alonso,13,12.401835690087678
Yuki Tsunoda,10,11.197866658774634
Pierre Gasly,4,13.784618590990837
Carlos Sainz,8,11.847100350009208
Jack Doohan,11,13.732055307796106
Nico Hulkenberg,16,15.01886841593451
Liam Lawson,17,16.750968271981925
Esteban Ocon,14,13.448694972210118
Gabriel Bortoleto,18,16.03546619489329
Lance Stroll,19,16.537010640640645
