asset,constructor,score,price
VER,red_bull,437,32.3
NOR,mclaren,374,27.5
LEC,ferrari,356,26.1
HAM,ferrari,223,25.8
PIA,mclaren,292,25.7
SAI,williams,290,24.4
RUS,mercedes,245,23.2
ALO,aston_martin,70,15.3
DOO,alpine,0,10.9
STR,aston_martin,24,14.3
TSU,racing_bulls,30,11.9
GAS,alpine,42,11.8
HUL,sauber,41,11.8
LAW,red_bull,4,10.9
ALB,williams,12,8.6
ANT,mercedes,NA,NA
HAD,racing_bulls,NA,NA
BEA,haas,NA,NA
BOR,sauber,NA,NA
OCO,alpine,23,7.8
RED,red_bull,589,29.7
MCL,mclaren,666,27
FER,ferrari,652,25.3
MER,mercedes,468,25.1
AST,aston_martin,94,14.4
RB,racing_bulls,46,12.9
HAA,haas,58,12.2
ALP,alpine,65,12.1
KCK,sauber,4,7.5
WIL,williams,17,6.1
